2017-07-17 14:20:46.407 [http-nio-8084-exec-4] WARN  org.springframework.web.servlet.PageNotFound-No mapping found for HTTP request with URI [/phoneui/img/t01d9a8207cdec0dd4b.jpg] in DispatcherServlet with name 'dispatcherServlet'
2017-07-17 15:08:09.961 [http-nio-8084-exec-3] WARN  org.springframework.web.servlet.PageNotFound-No mapping found for HTTP request with URI [/listnews] in DispatcherServlet with name 'dispatcherServlet'
2017-07-17 15:08:27.640 [http-nio-8084-exec-10] WARN  org.springframework.web.servlet.PageNotFound-No mapping found for HTTP request with URI [/phoneui/img/t01d9a8207cdec0dd4b.jpg] in DispatcherServlet with name 'dispatcherServlet'
2017-07-17 15:08:27.711 [http-nio-8084-exec-4] WARN  org.springframework.web.servlet.PageNotFound-No mapping found for HTTP request with URI [/phoneui/img/t01d9a8207cdec0dd4b.jpg] in DispatcherServlet with name 'dispatcherServlet'
2017-07-17 15:09:47.158 [http-nio-8084-exec-7] WARN  org.springframework.web.servlet.PageNotFound-No mapping found for HTTP request with URI [/phoneui/img/user_06.jpg] in DispatcherServlet with name 'dispatcherServlet'
2017-07-17 15:09:47.207 [http-nio-8084-exec-6] WARN  org.springframework.web.servlet.PageNotFound-No mapping found for HTTP request with URI [/phoneui/img/user_06.jpg] in DispatcherServlet with name 'dispatcherServlet'
2017-07-17 15:09:47.225 [http-nio-8084-exec-8] WARN  org.springframework.web.servlet.PageNotFound-No mapping found for HTTP request with URI [/phoneui/images/banner.png] in DispatcherServlet with name 'dispatcherServlet'
2017-07-17 15:09:47.226 [http-nio-8084-exec-2] WARN  org.springframework.web.servlet.PageNotFound-No mapping found for HTTP request with URI [/phoneui/images/right.png] in DispatcherServlet with name 'dispatcherServlet'
2017-07-17 15:09:47.228 [http-nio-8084-exec-5] WARN  org.springframework.web.servlet.PageNotFound-No mapping found for HTTP request with URI [/phoneui/images/left.png] in DispatcherServlet with name 'dispatcherServlet'
2017-07-17 15:23:41.998 [http-nio-8084-exec-7] WARN  org.springframework.web.servlet.PageNotFound-No mapping found for HTTP request with URI [/phoneui/message] in DispatcherServlet with name 'dispatcherServlet'
2017-07-17 15:23:58.470 [main] WARN  org.beetl.ext.spring.BeetlSpringViewResolver-Beetl不建议使用使用spring前缀，会导致include,layout找不到对应的模板，请使用beetl的配置RESOURCE.ROOT来配置模板根目录
2017-07-17 15:23:59.372 [main] WARN  o.s.boot.starter.redis.RedisStarterDeprecationWarningAutoConfiguration-spring-boot-starter-redis is deprecated as of Spring Boot 1.4, please migrate to spring-boot-starter-data-redis
2017-07-17 15:32:40.452 [http-nio-8084-exec-8] WARN  org.springframework.web.servlet.PageNotFound-No mapping found for HTTP request with URI [/phoneui/todolist] in DispatcherServlet with name 'dispatcherServlet'
2017-07-17 15:32:53.653 [main] WARN  org.beetl.ext.spring.BeetlSpringViewResolver-Beetl不建议使用使用spring前缀，会导致include,layout找不到对应的模板，请使用beetl的配置RESOURCE.ROOT来配置模板根目录
2017-07-17 15:32:54.416 [main] WARN  o.s.boot.starter.redis.RedisStarterDeprecationWarningAutoConfiguration-spring-boot-starter-redis is deprecated as of Spring Boot 1.4, please migrate to spring-boot-starter-data-redis
2017-07-17 15:40:34.290 [http-nio-8084-exec-9] WARN  org.springframework.web.servlet.PageNotFound-No mapping found for HTTP request with URI [/phoneui/newsinfo] in DispatcherServlet with name 'dispatcherServlet'
2017-07-17 15:40:44.892 [main] WARN  org.beetl.ext.spring.BeetlSpringViewResolver-Beetl不建议使用使用spring前缀，会导致include,layout找不到对应的模板，请使用beetl的配置RESOURCE.ROOT来配置模板根目录
2017-07-17 15:40:45.672 [main] WARN  o.s.boot.starter.redis.RedisStarterDeprecationWarningAutoConfiguration-spring-boot-starter-redis is deprecated as of Spring Boot 1.4, please migrate to spring-boot-starter-data-redis
2017-07-17 15:41:54.089 [http-nio-8084-exec-3] WARN  org.springframework.web.servlet.PageNotFound-No mapping found for HTTP request with URI [/phoneui/js/mui.min.js] in DispatcherServlet with name 'dispatcherServlet'
2017-07-17 15:41:54.158 [http-nio-8084-exec-6] WARN  org.springframework.web.servlet.PageNotFound-No mapping found for HTTP request with URI [/phoneui/js/mui.min.js] in DispatcherServlet with name 'dispatcherServlet'
2017-07-17 15:45:21.902 [http-nio-8084-exec-2] WARN  org.springframework.web.servlet.PageNotFound-No mapping found for HTTP request with URI [/phoneui/img/user_06.jpg] in DispatcherServlet with name 'dispatcherServlet'
